County,FIPS Code,ACS Population - Family Households 2017,Rank
"Los Angeles County, CA",6037,"2,203,922",1
"Cook County, IL",17031,"1,182,951",2
"Harris County, TX",48201,"1,066,649",3
"Maricopa County, AZ",4013,"976,254",4
"San Diego County, CA",6073,"747,245",5
"Orange County, CA",6059,"739,052",6
"Dallas County, TX",48113,"590,475",7
"Kings County, NY",36047,"585,611",8
"Miami-Dade County, FL",12086,"585,476",9
"Queens County, NY",36081,"525,106",10
"Riverside County, CA",6065,"522,332",11
"King County, WA",53033,"512,299",12
"Tarrant County, TX",48439,"481,588",13
"Clark County, NV",32003,"480,487",14
"San Bernardino County, CA",6071,"473,703",15
"Santa Clara County, CA",6085,"453,108",16
"Broward County, FL",12011,"433,887",17
"Bexar County, TX",48029,"423,390",18
"Wayne County, MI",26163,"416,779",19
"Middlesex County, MA",25017,"385,660",20
"Alameda County, CA",6001,"379,405",21
"Suffolk County, NY",36103,"359,870",22
"Sacramento County, CA",6067,"351,693",23
"Nassau County, NY",36059,"340,148",24
"Palm Beach County, FL",12099,"339,462",25
"Bronx County, NY",36005,"326,296",26
"Oakland County, MI",26125,"323,744",27
"Hillsborough County, FL",12057,"321,144",28
"New York County, NY",36061,"320,700",29
"Philadelphia County, PA",42101,"311,734",30
"Cuyahoga County, OH",39035,"304,670",31
"Allegheny County, PA",42003,"304,668",32
"Orange County, FL",12095,"294,557",33
"Franklin County, OH",39049,"291,539",34
"Hennepin County, MN",27053,"286,220",35
"Fairfax County, VA",51059,"281,196",36
"Contra Costa County, CA",6013,"279,729",37
"St. Louis County, MO",29189,"258,913",38
"Montgomery County, MD",24031,"257,855",39
"Salt Lake County, UT",49035,"255,828",40
"Wake County, NC",37183,"255,026",41
"Travis County, TX",48453,"254,476",42
"Pima County, AZ",4019,"245,163",43
"Bergen County, NJ",34003,"244,327",44
"Mecklenburg County, NC",37119,"244,302",45
"Collin County, TX",48085,"240,307",46
"Westchester County, NY",36119,"239,896",47
"DuPage County, IL",17043,"238,768",48
"Fairfield County, CT",9001,"236,410",49
"Erie County, NY",36029,"229,623",50
"Hartford County, CT",9003,"226,604",51
"Pinellas County, FL",12103,"225,686",52
"Macomb County, MI",26099,"225,398",53
"Shelby County, TN",47157,"219,970",54
"Fresno County, CA",6019,"219,884",55
"Honolulu County, HI",15003,"219,859",56
"Duval County, FL",12031,"216,247",57
"Milwaukee, WI",55079,"216,055",58
"Gwinnett County, GA",13135,"215,104",59
"Montgomery County, PA",42091,"214,517",60
"Fulton County, GA",13121,"211,714",61
"Pierce County, WA",53053,"208,065",62
"Middlesex County, NJ",34023,"207,105",63
"Marion County, IN",18097,"206,566",64
"New Haven County, CT",9009,"205,240",65
"Baltimore County, MD",24005,"204,288",66
"Prince George's County, MD",24033,"202,472",67
"Worcester County, MA",25027,"202,054",68
"Ventura County, CA",6111,"198,226",69
"Kern County, CA",6029,"198,056",70
"Hamilton County, OH",39061,"195,770",71
"El Paso County, TX",48141,"195,606",72
"Denton County, TX",48121,"195,602",73
"Essex County, MA",25009,"195,222",74
"Snohomish County, WA",53061,"194,472",75
"Hidalgo County, TX",48215,"190,585",76
"Cobb County, GA",13067,"187,468",77
"Jefferson County, KY",21111,"184,658",78
"Oklahoma County, OK",40109,"184,349",79
"Fort Bend County, TX",48157,"182,543",80
"Monroe County, NY",36055,"182,129",81
"San Mateo County, CA",6081,"181,969",82
"Essex County, NJ",34013,"181,847",83
"Lake County, IL",17097,"179,683",84
"Lee County, FL",12071,"174,256",85
"Multnomah County, OR",41051,"174,076",86
"Norfolk County, MA",25021,"173,787",87
"El Paso County, CO",8041,"171,919",88
"Will County, IL",17197,"171,194",89
"San Francisco County, CA",6075,"168,738",90
"Bucks County, PA",42017,"167,411",91
"San Joaquin County, CA",6077,"166,555",92
"Jefferson County, AL",1073,"165,380",93
"Jackson County, MO",29095,"163,816",94
"Monmouth County, NJ",34025,"161,387",95
"DeKalb County, GA",13089,"160,589",96
"Bernalillo County, NM",35001,"159,035",97
"Tulsa County, OK",40143,"158,414",98
"Kent County, MI",26081,"157,244",99
"Hudson County, NJ",34017,"156,467",100
"Polk County, FL",12105,"155,940",101
"Arapahoe County, CO",8005,"155,492",102
"Davidson County, TN",47037,"153,909",103
"Johnson County, KS",20091,"153,483",104
"Suffolk County, MA",25025,"151,644",105
"Ocean County, NJ",34029,"149,402",106
"Providence County, RI",44007,"148,061",107
"Jefferson County, CO",8059,"146,870",108
