County,FIPS Code,2017 ACS Population - High School Diploma or More as a percent of 2017 ACS Population - Population 25 and Over,Rank,,,,
"Blaine County, NE",31009,98.90%,1,,,,
"Denali Borough, AK",2068,98.70%,2,,,,
"Loup County, NE",31115,98.30%,3,,,,
"Falls Church Independent City, VA",51610,98.20%,4,,,,
"Rich County, UT",49033,98.10%,5,,,,
"Petroleum County, MT",30069,98.10%,5,,,,
"Gilpin County, CO",8047,98.00%,7,,,,
"Ouray County, CO",8091,98.00%,7,,,,
"Los Alamos County, NM",35028,98.00%,7,,,,
"Clear Creek County, CO",8019,97.90%,10,,,,
"Douglas County, CO",8035,97.90%,10,,,,
"Morgan County, UT",49029,97.20%,12,,,,
"Grant County, NE",31075,97.10%,13,,,,
"Gallatin County, MT",30031,96.80%,14,,,,
"Story County, IA",19169,96.80%,14,,,,
"Delaware County, OH",39041,96.70%,16,,,,
"Haines Borough, AK",2100,96.60%,17,,,,
"Dukes County, MA",25007,96.60%,17,,,,
"San Juan County, CO",8111,96.50%,19,,,,
"Garfield County, WA",53023,96.50%,19,,,,
"Mineral County, CO",8079,96.40%,21,,,,
"Park County, CO",8093,96.40%,21,,,,
"Elbert County, CO",8039,96.30%,23,,,,
"Judith Basin County, MT",30045,96.30%,23,,,,
"Sublette County, WY",56035,96.20%,25,,,,
"Hamilton County, IN",18057,96.20%,25,,,,
"Latah County, ID",16057,96.20%,25,,,,
"Albany County, WY",56001,96.20%,25,,,,
"Ozaukee, WI",55089,96.20%,25,,,,
"Steele County, ND",38091,96.20%,25,,,,
"Frontier County, NE",31063,96.10%,31,,,,
"Carver County, MN",27019,96.10%,31,,,,
"Washington County, MN",27163,96.10%,31,,,,
"Washington County, NE",31177,96.10%,31,,,,
"St. Croix, WI",55109,96.10%,31,,,,
"Garfield County, NE",31071,96.10%,31,,,,
"Routt County, CO",8107,96.10%,31,,,,
"Brookings County, SD",46011,96.10%,31,,,,
"San Juan County, WA",53055,96.10%,31,,,,
"Juneau Borough, AK",2110,96.00%,40,,,,
"Waukesha, WI",55133,96.00%,40,,,,
"Bremer County, IA",19017,95.90%,42,,,,
"Cook County, MN",27031,95.90%,42,,,,
"Poquoson Independent City, VA",51735,95.90%,42,,,,
"Riley County, KS",20161,95.90%,42,,,,
"Valdez-Cordova Borough, AK",2261,95.90%,42,,,,
"McLean County, IL",17113,95.80%,47,,,,
"Broomfield County, CO",8014,95.80%,47,,,,
"Lake County, MN",27075,95.80%,47,,,,
"Fallon County, MT",30025,95.80%,47,,,,
"Larimer County, CO",8069,95.80%,47,,,,
"Banner County, NE",31007,95.70%,52,,,,
"Prairie County, MT",30079,95.70%,52,,,,
"Park County, MT",30067,95.70%,52,,,,
"Warren County, IA",19181,95.70%,52,,,,
