County,FIPS Code,Median Household Income 2017,Rank
"Loudoun County, VA",51107,"$136,191 ",1
"Falls Church Independent City, VA",51610,"$123,923 ",2
"Santa Clara County, CA",6085,"$118,468 ",3
"Los Alamos County, NM",35028,"$118,380 ",4
"Fairfax County, VA",51059,"$117,989 ",5
"San Mateo County, CA",6081,"$115,908 ",6
"Arlington County, VA",51013,"$114,705 ",7
"Morris County, NJ",34027,"$114,269 ",8
"Hunterdon County, NJ",34019,"$113,083 ",9
"Marin County, CA",6041,"$112,735 ",10
"Douglas County, CO",8035,"$112,386 ",11
"Somerset County, NJ",34035,"$111,838 ",12
"Howard County, MD",24027,"$111,576 ",13
"Williamson County, TN",47187,"$111,427 ",14
"Stafford County, VA",51179,"$111,184 ",15
"San Francisco County, CA",6075,"$109,601 ",16
"Delaware County, OH",39041,"$107,676 ",17
"Nassau County, NY",36059,"$107,465 ",18
"Forsyth County, GA",13117,"$103,083 ",19
"Montgomery County, MD",24031,"$102,944 ",20
"Elbert County, CO",8039,"$102,731 ",21
"Carver County, MN",27019,"$102,511 ",22
"Summit County, UT",49043,"$100,879 ",23
"Norfolk County, MA",25021,"$100,710 ",24
"Goochland County, VA",51075,"$100,686 ",25
"Prince William County, VA",51153,"$100,431 ",26
"Calvert County, MD",24009,"$100,000 ",27
"Alexandria Independent City, VA",51510,"$99,959 ",28
"Scott County, MN",27139,"$99,685 ",29
"Fairfax Independent City, VA",51600,"$99,662 ",30
"Poquoson Independent City, VA",51735,"$99,089 ",31
"Putnam County, NY",36079,"$98,765 ",32
"Rockwall County, TX",48397,"$98,442 ",33
"Oldham County, KY",21185,"$97,960 ",34
"Middlesex County, MA",25017,"$97,851 ",35
"Monmouth County, NJ",34025,"$97,627 ",36
"Kendall County, IL",17093,"$97,039 ",37
"Fauquier County, VA",51061,"$96,835 ",38
"Chester County, PA",42029,"$96,803 ",39
"Morgan County, UT",49029,"$96,201 ",40
"Anne Arundel County, MD",24003,"$96,133 ",41
"Alameda County, CA",6001,"$95,550 ",42
"Collin County, TX",48085,"$95,394 ",43
"Hamilton County, IN",18057,"$95,080 ",44
"Contra Costa County, CA",6013,"$95,062 ",45
"Charles County, MD",24017,"$94,478 ",46
"Suffolk County, NY",36103,"$94,108 ",47
"Bergen County, NJ",34003,"$93,805 ",48
"Carroll County, MD",24013,"$92,890 ",49
"Washington County, MN",27163,"$92,582 ",50
"Nantucket County, MA",25019,"$92,347 ",51
"Oconee County, GA",13219,"$92,216 ",52
"Broomfield County, CO",8014,"$91,968 ",53
"Frederick County, MD",24021,"$91,727 ",54
"Fort Bend County, TX",48157,"$91,661 ",55
"Fairfield County, CT",9001,"$91,170 ",56
"Queen Anne's County, MD",24035,"$90,696 ",57
"Westchester County, NY",36119,"$90,483 ",58
"Juneau Borough, AK",2110,"$90,436 ",59
"Teton County, WY",56039,"$90,145 ",60
"Dallas County, IA",19049,"$90,133 ",61
"Sussex County, NJ",34037,"$89,744 ",62
"Hanover County, VA",51085,"$89,723 ",63
"New Kent County, VA",51127,"$89,682 ",64
"Kendall County, TX",48259,"$89,637 ",65
"DuPage County, IL",17043,"$89,536 ",66
"King County, WA",53033,"$89,519 ",67
"Lincoln County, SD",46083,"$89,458 ",68
"Rockingham, NH",33015,"$89,049 ",69
"Eagle County, CO",8037,"$88,913 ",70
"James City County, VA",51095,"$88,149 ",71
"Rockland County, NY",36087,"$87,873 ",72
"Fayette County, GA",13113,"$87,831 ",73
"Powhatan County, VA",51145,"$87,756 ",74
"Montgomery County, PA",42091,"$87,338 ",75
"Sherburne County, MN",27141,"$87,094 ",76
"King George County, VA",51099,"$86,878 ",77
"Burlington County, NJ",34005,"$86,777 ",78
"Union County, OH",39159,"$86,609 ",79
"Denton County, TX",48121,"$86,462 ",80
"McHenry County, IL",17111,"$86,450 ",81
"Lake County, IL",17097,"$86,242 ",82
"Valdez-Cordova Borough, AK",2261,"$86,196 ",83
"Orange County, CA",6059,"$86,031 ",84
"Plymouth County, MA",25023,"$86,026 ",85
"Spotsylvania County, VA",51177,"$85,743 ",86
"Warren County, OH",39165,"$85,532 ",87
"York County, VA",51199,"$85,292 ",88
"Middlesex County, NJ",34023,"$85,187 ",89
"Ozaukee, WI",55089,"$85,098 ",90
"Bucks County, PA",42017,"$84,784 ",91
"Gloucester County, NJ",34015,"$84,639 ",92
"New York County, NY",36061,"$84,133 ",93
"Napa County, CA",6055,"$83,881 ",94
"Monroe County, IL",17133,"$83,767 ",95
"Johnson County, KS",20091,"$83,516 ",96
"Wasatch County, UT",49051,"$83,344 ",97
"Mercer County, ND",38057,"$82,991 ",98
"Geauga County, OH",39055,"$82,744 ",99
"North Slope Borough, AK",2185,"$82,736 ",100
"Saratoga County, NY",36091,"$82,732 ",101
"Boone County, IN",18011,"$82,670 ",102
"Waukesha, WI",55133,"$82,627 ",103
"Will County, IL",17197,"$82,477 ",104
"Ventura County, CA",6111,"$82,436 ",105
"St. Mary's County, MD",24037,"$82,433 ",106
"Snohomish County, WA",53061,"$82,405 ",107
"St. Croix, WI",55109,"$82,253 ",108
"Williamson County, TX",48491,"$82,131 ",109
"Chisago County, MN",27025,"$82,118 ",110
"Union County, SD",46127,"$82,100 ",111
"Livingston County, MI",26093,"$82,076 ",112
"St. Charles County, MO",29183,"$81,827 ",113
"Middlesex County, CT",9007,"$81,533 ",114
"Placer County, CA",6061,"$81,366 ",115
"Chambers County, TX",48071,"$81,018 ",116
"Dakota County, MN",27037,"$81,004 ",117
"Honolulu County, HI",15003,"$80,947 ",118
"Harford County, MD",24025,"$80,922 ",119
"Prince George's County, MD",24033,"$80,858 ",120
"Washington County, OR",41067,"$80,845 ",121
"Sarpy County, NE",31153,"$80,842 ",122
"Brazoria County, TX",48039,"$80,840 ",123
"Spencer County, KY",21215,"$80,808 ",124
"Wright County, MN",27171,"$80,805 ",125
"Boulder County, CO",8013,"$80,701 ",126
"Chesterfield County, VA",51041,"$80,573 ",127
"Jefferson County, CO",8059,"$80,562 ",128
"Manassas Park Independent City, VA",51685,"$80,482 ",129
"Davis County, UT",49011,"$80,433 ",130
"Aleutians West Borough, AK",2016,"$80,290 ",131
"Williams County, ND",38105,"$80,161 ",132
"District of Columbia, DC",11001,"$80,153 ",133
"Gilpin County, CO",8047,"$79,636 ",134
"Warren County, NJ",34041,"$79,633 ",135
"Sonoma County, CA",6097,"$79,511 ",136
"Clackamas County, OR",41005,"$79,404 ",137
"Anoka County, MN",27003,"$79,097 ",138
"Washington County, RI",44009,"$78,599 ",139
"Pitkin County, CO",8097,"$78,596 ",140
