County,FIPS Code,Population 2018,Rank
"Los Angeles County, CA",6037,"10,105,518",1
"Cook County, IL",17031,"5,180,493",2
"Harris County, TX",48201,"4,698,619",3
"Maricopa County, AZ",4013,"4,410,824",4
"San Diego County, CA",6073,"3,343,364",5
"Orange County, CA",6059,"3,185,968",6
"Miami-Dade County, FL",12086,"2,761,581",7
"Dallas County, TX",48113,"2,637,772",8
"Kings County, NY",36047,"2,582,830",9
"Riverside County, CA",6065,"2,450,758",10
"Queens County, NY",36081,"2,278,906",11
"King County, WA",53033,"2,233,163",12
"Clark County, NV",32003,"2,231,647",13
"San Bernardino County, CA",6071,"2,171,603",14
"Tarrant County, TX",48439,"2,084,931",15
"Bexar County, TX",48029,"1,986,049",16
"Broward County, FL",12011,"1,951,260",17
"Santa Clara County, CA",6085,"1,937,570",18
"Wayne County, MI",26163,"1,753,893",19
"Alameda County, CA",6001,"1,666,753",20
"New York County, NY",36061,"1,628,701",21
"Middlesex County, MA",25017,"1,614,714",22
"Philadelphia County, PA",42101,"1,584,138",23
"Sacramento County, CA",6067,"1,540,975",24
"Palm Beach County, FL",12099,"1,485,941",25
"Suffolk County, NY",36103,"1,481,093",26
"Hillsborough County, FL",12057,"1,436,888",27
"Bronx County, NY",36005,"1,432,132",28
"Orange County, FL",12095,"1,380,645",29
"Nassau County, NY",36059,"1,358,343",30
"Franklin County, OH",39049,"1,310,300",31
"Hennepin County, MN",27053,"1,259,428",32
"Oakland County, MI",26125,"1,259,201",33
"Travis County, TX",48453,"1,248,743",34
"Cuyahoga County, OH",39035,"1,243,857",35
"Allegheny County, PA",42003,"1,218,452",36
"Fairfax, Fairfax City + Falls Church, VA",51919,"1,190,141",37
"Salt Lake County, UT",49035,"1,152,633",38
"Contra Costa County, CA",6013,"1,150,215",39
"Mecklenburg County, NC",37119,"1,093,901",40
"Wake County, NC",37183,"1,092,305",41
"Montgomery County, MD",24031,"1,052,567",42
"Fulton County, GA",13121,"1,050,114",43
"Pima County, AZ",4019,"1,039,073",44
"Collin County, TX",48085,"1,005,146",45
"St. Louis County, MO",29189,"996,945",46
"Fresno County, CA",6019,"994,400",47
"Honolulu County, HI",15003,"980,080",48
"Pinellas County, FL",12103,"975,280",49
"Westchester County, NY",36119,"967,612",50
"Marion County, IN",18097,"954,670",51
"Duval County, FL",12031,"950,181",52
"Milwaukee, WI",55079,"948,201",53
"Fairfield County, CT",9001,"943,823",54
"Bergen County, NJ",34003,"936,692",55
"Shelby County, TN",47157,"935,764",56
"DuPage County, IL",17043,"928,589",57
"Gwinnett County, GA",13135,"927,781",58
"Erie County, NY",36029,"919,719",59
"Prince George's County, MD",24033,"909,308",60
"Kern County, CA",6029,"896,764",61
"Hartford County, CT",9003,"892,697",62
"Pierce County, WA",53053,"891,299",63
"San Francisco County, CA",6075,"883,305",64
"Macomb County, MI",26099,"874,759",65
"Hidalgo County, TX",48215,"865,939",66
"Denton County, TX",48121,"859,064",67
"New Haven County, CT",9009,"857,620",68
"Ventura County, CA",6111,"850,967",69
"El Paso County, TX",48141,"840,758",70
"Worcester County, MA",25027,"830,839",71
"Middlesex County, NJ",34023,"829,685",72
"Montgomery County, PA",42091,"828,604",73
"Baltimore County, MD",24005,"828,431",74
"Hamilton County, OH",39061,"816,684",75
"Snohomish County, WA",53061,"814,901",76
"Multnomah County, OR",41051,"811,880",77
"Suffolk County, MA",25025,"807,252",78
"Essex County, NJ",34013,"799,767",79
"Oklahoma County, OK",40109,"792,582",80
"Essex County, MA",25009,"790,638",81
"Fort Bend County, TX",48157,"787,858",82
"Jefferson County, KY",21111,"770,517",83
"San Mateo County, CA",6081,"769,545",84
"Cobb County, GA",13067,"756,865",85
"DeKalb County, GA",13089,"756,558",86
"Lee County, FL",12071,"754,610",87
"San Joaquin County, CA",6077,"752,660",88
"Monroe County, NY",36055,"742,474",89
"Denver County, CO",8031,"716,492",90
"El Paso County, CO",8041,"713,856",91
"Polk County, FL",12105,"708,009",92
"Norfolk County, MA",25021,"705,388",93
"District of Columbia, DC",11001,"702,455",94
"Lake County, IL",17097,"700,832",95
"Jackson County, MO",29095,"700,307",96
"Davidson County, TN",47037,"692,587",97
"Will County, IL",17197,"692,310",98
"Bernalillo County, NM",35001,"678,701",99
"Hudson County, NJ",34017,"676,061",100
"Jefferson County, AL",1073,"659,300",101
"Kent County, MI",26081,"653,786",102
"Arapahoe County, CO",8005,"651,215",103
"Tulsa County, OK",40143,"648,360",104
"Providence County, RI",44007,"636,084",105
"Bucks County, PA",42017,"628,195",106
"Utah County, UT",49049,"622,213",107
"Monmouth County, NJ",34025,"621,354",108
"Baltimore City County, MD",24510,"602,495",109
"Ocean County, NJ",34029,"601,651",110
"Washington County, OR",41067,"597,695",111
"Johnson County, KS",20091,"597,555",112
"Brevard County, FL",12009,"596,849",113
"Montgomery County, TX",48339,"590,925",114
"Jefferson County, CO",8059,"580,233",115
"Anne Arundel County, MD",24003,"576,031",116
"Douglas County, NE",31055,"566,880",117
"Williamson County, TX",48491,"566,719",118
"Delaware County, PA",42045,"564,751",119
"Bristol County, MA",25005,"564,022",120
"New Castle County, DE",10003,"559,335",121
"Union County, NJ",34039,"558,067",122
"Ramsey County, MN",27123,"550,210",123
"Stanislaus County, CA",6099,"549,815",124
"Volusia County, FL",12127,"547,538",125
"Lancaster County, PA",42071,"543,557",126
"Dane, WI",55025,"542,364",127
"Summit County, OH",39153,"541,918",128
"Pasco County, FL",12101,"539,630",129
"Kane County, IL",17089,"534,216",130
"Guilford County, NC",37081,"533,670",131
"Montgomery County, OH",39113,"532,331",132
"Prince William, Manassas + Manassas Park, VA",51942,"526,959",133
"Chester County, PA",42029,"522,046",134
"Plymouth County, MA",25023,"518,132",135
"Spokane County, WA",53063,"514,631",136
"Greenville County, SC",45045,"514,213",137
"Sedgwick County, KS",20173,"513,607",138
"Adams County, CO",8001,"511,868",139
"Camden County, NJ",34007,"507,078",140
"Passaic County, NJ",34031,"503,310",141
"Sonoma County, CA",6097,"499,942",142
"Morris County, NJ",34027,"494,228",143
