County,FIPS Code,Unemployment Rate 2018,Rank
"Kusilvak, AK",2158,19.9,1
"Imperial County, CA",6025,18.1,2
"Yuma County, AZ",4027,17,3
"Yukon-Koyukuk Borough, AK",2290,15.3,4
"Northwest Arctic Borough, AK",2188,14.2,5
"Jefferson County, MS",28063,13.3,6
"Magoffin County, KY",21153,13.2,7
"Colusa County, CA",6011,12.9,8
"Bethel Borough, AK",2050,12.8,9
"Hoonah-Angoon Borough, AK",2105,12.6,10
"Luna County, NM",35029,11.9,11
"Ferry County, WA",53019,11.7,12
"Lake and Peninsula Borough, AK",2164,11.6,13
"Nome Borough, AK",2180,11.6,13
"Prince of Wales-Hyder Borough, AK",2198,10.9,15
"Calhoun County, WV",54013,10.4,16
"East Carroll Parish, LA",22035,10.3,17
"Oglala Lakota, SD",46102,10.3,17
"Starr County, TX",48427,10.1,19
"Apache County, AZ",4001,10.1,19
"Willacy County, TX",48489,9.9,21
"Skagway Borough, AK",2230,9.8,22
"Mackinac County, MI",26097,9.7,23
"Big Horn County, MT",30003,9.6,24
"Wilcox County, AL",1131,9.6,24
"Southeast Fairbanks Borough, AK",2240,9.6,24
"Tulare County, CA",6107,9.6,24
"Zavala County, TX",48507,9.5,28
"Haines Borough, AK",2100,9.5,28
"Rolette County, ND",38079,9.4,30
"McDowell County, WV",54047,9.4,30
"Elliott County, KY",21063,9.3,32
"Santa Cruz County, AZ",4023,9.3,32
"Carter County, KY",21043,9.2,34
"West Carroll Parish, LA",22123,9.2,34
"Cheboygan County, MI",26031,9.2,34
"Claiborne County, MS",28021,9.2,34
"Issaquena County, MS",28055,9,38
"Holmes County, MS",28051,8.9,39
"Dewey County, SD",46041,8.8,40
"Petersburg Borough, AK",2195,8.7,41
"Montmorency County, MI",26119,8.6,42
"Wilkinson County, MS",28157,8.5,43
"Lewis County, KY",21135,8.4,44
"Humphreys County, MS",28053,8.4,44
"Cape May County, NJ",34009,8.4,44
"Clay County, WV",54015,8.4,44
"Madison Parish, LA",22065,8.3,48
"Hyde County, NC",37095,8.3,48
"Merced County, CA",6047,8.3,48
"Pulaski County, IL",17153,8.2,51
"Morehouse Parish, LA",22067,8.2,51
"Dillingham Borough, AK",2070,8.2,51
"Yakutat Borough, AK",2282,8.2,51
"Clearwater County, MN",27029,8.1,55
"Maverick County, TX",48323,8.1,55
"Worcester County, MD",24047,8,57
"Presque Isle County, MI",26141,8,57
"Kern County, CA",6029,8,57
"Alexander County, IL",17003,7.9,60
"Sabine County, TX",48403,7.9,60
"Roane County, WV",54087,7.9,60
"Hardin County, IL",17069,7.8,63
"Johnson County, IL",17087,7.8,63
"Alger County, MI",26003,7.8,63
"Ontonagon County, MI",26131,7.8,63
"Roscommon County, MI",26143,7.8,63
"Sunflower County, MS",28133,7.8,63
"Glacier County, MT",30035,7.8,63
"Monroe County, OH",39111,7.8,63
"Garfield County, UT",49017,7.8,63
"Denali Borough, AK",2068,7.8,63
"Navajo County, AZ",4017,7.8,63
"Clay County, GA",13061,7.7,74
"Wolfe County, KY",21237,7.7,74
"Tensas Parish, LA",22107,7.7,74
"Kenai Peninsula Borough, AK",2122,7.7,74
"Kings County, CA",6031,7.7,74
"Menifee County, KY",21165,7.6,79
"Quitman County, MS",28119,7.6,79
"Torrance County, NM",35057,7.6,79
"Mingo County, WV",54059,7.6,79
"Matanuska-Susitna Borough, AK",2170,7.6,79
"Clarke County, AL",1025,7.5,84
"Fresno County, CA",6019,7.5,84
"Modoc County, CA",6049,7.5,84
"Plumas County, CA",6063,7.5,84
"Sutter County, CA",6101,7.5,84
"Wheeler County, GA",13309,7.4,89
"Harlan County, KY",21095,7.4,89
"Kemper County, MS",28069,7.4,89
"Lincoln County, MT",30053,7.4,89
"Scotland County, NC",37165,7.4,89
"Tyler County, WV",54095,7.4,89
"Valdez-Cordova Borough, AK",2261,7.4,89
"Breathitt County, KY",21025,7.3,96
"Meigs County, OH",39105,7.3,96
"Grant County, OR",41023,7.3,96
"Lowndes County, AL",1085,7.3,96
"Lawrence County, KY",21127,7.2,100
"Mineral County, MT",30061,7.2,100
"Pend Oreille County, WA",53051,7.2,100
"Wetzel County, WV",54103,7.2,100
"Clay County, KY",21051,7.1,104
"Leslie County, KY",21131,7.1,104
"Owsley County, KY",21189,7.1,104
"Franklin Parish, LA",22041,7.1,104
"Arenac County, MI",26011,7.1,104
"Schoolcraft County, MI",26153,7.1,104
"Washington County, MS",28151,7.1,104
"McKinley County, NM",35031,7.1,104
"Sierra County, NM",35051,7.1,104
"Adams County, OH",39001,7.1,104
"Stevens County, WA",53065,7.1,104
"Wyoming County, WV",54109,7.1,104
"Massac County, IL",17127,7,116
"Jackson County, KY",21109,7,116
"Wayne County, KY",21231,7,116
"Concordia Parish, LA",22029,7,116
"Ogemaw County, MI",26129,7,116
"Sharkey County, MS",28125,7,116
"Presidio County, TX",48377,7,116
"Braxton County, WV",54007,7,116
"Logan County, WV",54045,7,116
"Mason County, WV",54053,7,116
"Wirt County, WV",54105,7,116
"North Slope Borough, AK",2185,7,116
"Wrangell Borough, AK",2275,7,116
"Madera County, CA",6039,7,116
"Ballard County, KY",21007,6.9,130
"Johnson County, KY",21115,6.9,130
"Knott County, KY",21119,6.9,130
"Somerset County, MD",24039,6.9,130
"Keweenaw County, MI",26083,6.9,130
"Lake County, MI",26085,6.9,130
"Pacific County, WA",53049,6.9,130
"Lincoln County, WV",54043,6.9,130
"Chicot County, AR",5017,6.9,130
"Telfair County, GA",13271,6.8,139
"Livingston County, KY",21139,6.8,139
"Catahoula Parish, LA",22025,6.8,139
"Coahoma County, MS",28027,6.8,139
"Leflore County, MS",28083,6.8,139
"Hamilton County, NY",36041,6.8,139
"Edgecombe County, NC",37065,6.8,139
"Scioto County, OH",39145,6.8,139
"Clearwater County, ID",16035,6.7,147
