County,FIPS Code,ACS Population - White Alone 2017,Rank
"Los Angeles County, CA",6037,"5,232,835",1
"Maricopa County, AZ",4013,"3,241,643",2
"Cook County, IL",17031,"2,966,732",3
"Harris County, TX",48201,"2,864,288",4
"San Diego County, CA",6073,"2,325,434",5
"Miami-Dade County, FL",12086,"2,043,272",6
"Orange County, CA",6059,"1,960,484",7
"Dallas County, TX",48113,"1,565,175",8
"Bexar County, TX",48029,"1,502,279",9
"Riverside County, CA",6065,"1,450,473",10
"King County, WA",53033,"1,402,793",11
"Tarrant County, TX",48439,"1,361,361",12
"San Bernardino County, CA",6071,"1,312,700",13
"Clark County, NV",32003,"1,301,043",14
"Middlesex County, MA",25017,"1,233,520",15
"Suffolk County, NY",36103,"1,205,198",16
"Broward County, FL",12011,"1,165,004",17
"Kings County, NY",36047,"1,138,768",18
"Palm Beach County, FL",12099,"1,058,016",19
"Allegheny County, PA",42003,"987,932",20
"Hillsborough County, FL",12057,"958,208",21
"Oakland County, MI",26125,"939,218",22
"Nassau County, NY",36059,"939,072",23
"Wayne County, MI",26163,"937,802",24
"New York County, NY",36061,"932,105",25
"Queens County, NY",36081,"929,296",26
"Hennepin County, MN",27053,"894,712",27
"Salt Lake County, UT",49035,"887,004",28
"Travis County, TX",48453,"881,405",29
"Sacramento County, CA",6067,"877,495",30
"Santa Clara County, CA",6085,"869,630",31
"Franklin County, OH",39049,"848,761",32
"Orange County, FL",12095,"822,454",33
"Cuyahoga County, OH",39035,"791,566",34
"Pinellas County, FL",12103,"777,713",35
"Pima County, AZ",4019,"774,499",36
"Hidalgo County, TX",48215,"746,211",37
"DuPage County, IL",17043,"729,495",38
"Erie County, NY",36029,"721,101",39
"Fairfax County, VA",51059,"713,926",40
"Macomb County, MI",26099,"709,260",41
"Fairfield County, CT",9001,"696,286",42
"Alameda County, CA",6001,"694,720",43
"Worcester County, MA",25027,"690,916",44
"St. Louis County, MO",29189,"688,312",45
"Wake County, NC",37183,"680,511",46
"El Paso County, TX",48141,"677,126",47
"Ventura County, CA",6111,"677,010",48
"Bergen County, NJ",34003,"664,406",49
"Kern County, CA",6029,"660,196",50
"Contra Costa County, CA",6013,"658,569",51
"Montgomery County, PA",42091,"653,904",52
"Philadelphia County, PA",42101,"652,204",53
"Collin County, TX",48085,"649,834",54
"Hartford County, CT",9003,"644,122",55
"New Haven County, CT",9009,"641,178",56
"Westchester County, NY",36119,"637,798",57
"Essex County, MA",25009,"625,697",58
"Pierce County, WA",53053,"624,094",59
"Fresno County, CA",6019,"617,322",60
"Multnomah County, OR",41051,"613,778",61
"Snohomish County, WA",53061,"595,805",62
"Lee County, FL",12071,"593,227",63
"Denton County, TX",48121,"592,740",64
"Marion County, IN",18097,"588,969",65
"Milwaukee, WI",55079,"579,582",66
"Mecklenburg County, NC",37119,"569,985",67
"Monroe County, NY",36055,"568,281",68
"Montgomery County, MD",24031,"563,929",69
"Bucks County, PA",42017,"554,141",70
"Duval County, FL",12031,"553,571",71
